title,release_date,score
Psycho,1960-06-16,0.8594886660575867
Rocky Balboa,2006-12-20,0.8376930952072144
Big Fish,2003-12-25,0.7827484607696533
Bridge to Terabithia,2007-02-16,0.7178506851196289
