title,release_date,score
To Kill a Mockingbird,1962-12-25,1.0479463338851929
Rain Man,1988-12-11,0.9837096929550171
Titanic,1997-11-18,0.9788770079612732
Jurassic Park,1993-06-11,0.8658616542816162
Syriana,2005-11-23,0.8466416597366333
